date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:52:47	100264/100264	---M--	200	added ('OK')	image/png	etag:%222054a2-187a8-5614195b52b00%22	https://wrraptheme.com/templates/compass/html/assets/images/ecommerce/9.png	wrraptheme.com/templates/compass/html/assets/images/ecommerce/9.png	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:52:49	100238/100238	---M--	200	added ('OK')	image/png	etag:%2220549d-1878e-56141977eee80%22	https://wrraptheme.com/templates/compass/html/assets/images/ecommerce/11.png	wrraptheme.com/templates/compass/html/assets/images/ecommerce/11.png	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:52:49	314612/314612	---M--	200	added ('OK')	image/png	etag:%2220549f-4ccf4-5614196c7d380%22	https://wrraptheme.com/templates/compass/html/assets/images/ecommerce/10.png	wrraptheme.com/templates/compass/html/assets/images/ecommerce/10.png	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:52:52	293375/293375	---M--	200	added ('OK')	image/png	etag:%222054a8-479ff-5614198178500%22	https://wrraptheme.com/templates/compass/html/assets/images/ecommerce/12.png	wrraptheme.com/templates/compass/html/assets/images/ecommerce/12.png	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:52:53	164212/164212	---M--	200	added ('OK')	application/javascript	etag:%221e5b15-28174-591a650197e80%22	https://wrraptheme.com/templates/compass/html/assets/bundles/libscripts.bundle.js	wrraptheme.com/templates/compass/html/assets/bundles/libscripts.bundle.js	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:52:53	57657/57657	---M--	200	added ('OK')	application/javascript	etag:%221e5b18-e139-591a650474540%22	https://wrraptheme.com/templates/compass/html/assets/bundles/vendorscripts.bundle.js	wrraptheme.com/templates/compass/html/assets/bundles/vendorscripts.bundle.js	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:52:53	6952/6952	---M--	200	added ('OK')	application/javascript	etag:%221e5b17-1b28-5befc052685c0%22	https://wrraptheme.com/templates/compass/html/assets/bundles/mainscripts.bundle.js	wrraptheme.com/templates/compass/html/assets/bundles/mainscripts.bundle.js	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:52:54	4600/4600	---M-Z	404	error ('Not%20Found')	text/html	etag:%221aa3d9-11f8-5827c2c756540-gzip%22	https://wrraptheme.com/templates/compass/html/assets/fonts/nucleo-outline.eot	wrraptheme.com/templates/compass/html/assets/fonts/nucleo-outline.eot	(from https://wrraptheme.com/templates/compass/html/assets/css/main.css)
00:52:55	4600/4600	---M-Z	404	error ('Not%20Found')	text/html	etag:%221aa3d9-11f8-5827c2c756540-gzip%22	https://wrraptheme.com/templates/compass/html/assets/fonts/nucleo-outline.woff2	wrraptheme.com/templates/compass/html/assets/fonts/nucleo-outline.woff2	(from https://wrraptheme.com/templates/compass/html/assets/css/main.css)
00:52:56	4600/4600	---M-Z	404	error ('Not%20Found')	text/html	etag:%221aa3d9-11f8-5827c2c756540-gzip%22	https://wrraptheme.com/templates/compass/html/assets/fonts/nucleo-outline.woff	wrraptheme.com/templates/compass/html/assets/fonts/nucleo-outline.woff	(from https://wrraptheme.com/templates/compass/html/assets/css/main.css)
